Dataset,Algorithm,Type,Run,Threads,Time,Metric,Best Iteration,Iterations,Eta,Leaves,Depth,Hessian,Subsample,Colsample_bytree,Training RAM 1st,Training RAM 25%,Training RAM 50%,Training RAM 75%,Total RAM,gc RAM
'bosch','xgboost-depthwise','depth',1,5,1249.008,0.7134534,1999,2000,0.02,7,3,1,1,1,2578882560,2583166976,2591739904,2591494144,2593509376,2577252352
'bosch','xgboost-depthwise','depth',2,5,950.2286,0.7199073,1402,1500,0.02,15,4,1,1,1,3438886912,3444699136,3444371456,3445039104,3447427072,2614087680
'bosch','xgboost-depthwise','depth',3,5,774.9749,0.7198976,955,1000,0.02,31,5,1,1,1,3534229504,3553267712,3550838784,3554263040,3556302848,2687053824
'bosch','xgboost-depthwise','depth',4,5,865.3679,0.7223834,723,1000,0.02,63,6,1,1,1,3665154048,3760496640,3761643520,3762495488,3757453312,2823684096
'bosch','xgboost-depthwise','depth',5,5,599.1732,0.7191517,399,500,0.02,127,7,1,1,1,3850530816,3953537024,4098211840,4097654784,4099813376,3024642048
'bosch','xgboost-depthwise','depth',6,5,567.7498,0.7250211,328,400,0.02,255,8,1,1,1,4118757376,4306579456,4492058624,4528889856,4513656832,3253190656
'bosch','xgboost-depthwise','depth',7,5,682.0476,0.7248398,391,400,0.02,511,9,1,1,1,4395974656,4709351424,5006548992,5018693632,5003403264,3515559936
'bosch','xgboost-depthwise','depth',8,5,782.991,0.7228884,308,400,0.02,1023,10,1,1,1,4738392064,5203075072,5706170368,5708161024,5699538944,3960041472
'bosch','xgboost-depthwise','depth',9,5,893.8179,0.7272562,343,400,0.02,2047,11,1,1,1,5277401088,5800038400,6390460416,6531805184,6528475136,4343459840
'bosch','xgboost-depthwise','depth',10,5,1032.2,0.7256541,338,400,0.02,4095,12,1,1,1,5744459776,6420721664,7223734272,7243911168,7248449536,4678184960
'bosch','xgboost-depthwise','hessian',1,5,863.7408,0.7228884,308,400,0.02,1023,10,1,1,1,2975543296,3439513600,3944656896,3947458560,3959345152,3949023232
'bosch','xgboost-depthwise','hessian',2,5,655.3066,0.7250595,325,400,0.02,1023,10,5,1,1,4956643328,5215830016,5596213248,5642272768,5646077952,3455672320
'bosch','xgboost-depthwise','hessian',3,5,563.6369,0.7181565,308,400,0.02,1023,10,25,1,1,4374732800,4551045120,4791877632,4819128320,4813828096,3113734144
'bosch','xgboost-depthwise','hessian',4,5,481.206,0.7036303,282,400,0.02,1023,10,125,1,1,3971837952,4138237952,4253061120,4253700096,4258709504,2894331904
'bosch','xgboost-depthwise','sampling',1,5,915.0466,0.7234308,684,1000,0.04,63,6,1,1,1,2734301184,2828349440,2829086720,2830614528,2842267648,2826010624
'bosch','xgboost-depthwise','sampling',2,5,805.0761,0.7216269,445,1000,0.04,63,6,1,0.8,1,3765370880,3891363840,3893706752,3894566912,3893104640,2816266240
'bosch','xgboost-depthwise','sampling',3,5,774.589,0.7219472,552,1000,0.04,63,6,1,0.6,1,3738324992,3863920640,3868164096,3869765632,3894734848,2828898304
'bosch','xgboost-depthwise','sampling',4,5,663.7387,0.7132093,234,1000,0.04,63,6,1,0.4,1,3730915328,3851214848,3847512064,3864784896,3873611776,2795798528
'bosch','xgboost-lossguide','leaves',1,4,1261.877,0.7124592,1995,2000,0.02,7,0,1,1,1,2580873216,2580647936,2589274112,2589040640,2591416320,2575159296
