Dataset,Algorithm,Type,Run,Threads,Time,Metric,Best Iteration,Iterations,Eta,Leaves,Depth,Hessian,Subsample,Colsample_bytree
'bosch','lightgbm-na','sampling',3,4,240.955297119141,0.719499498098,633,750,0.04,63,6,1,0.6,1
'bosch','lightgbm-na','sampling',4,4,261.307876220703,0.716120386663,406,750,0.04,63,6,1,0.4,1
'bosch','lightgbm-na','leaves',1,3,615.713698974609,0.713880859187,1965,2000,0.02,7,-1,1,1,1
'bosch','lightgbm-na','leaves',2,3,536.640248046875,0.720739660925,1138,1500,0.02,15,-1,1,1,1
'bosch','lightgbm-na','leaves',3,3,340.626336914063,0.722214385389,434,750,0.02,31,-1,1,1,1
'bosch','lightgbm-na','leaves',4,3,287.671761962891,0.724139086036,384,500,0.02,63,-1,1,1,1
'bosch','lightgbm-na','leaves',5,3,276.808572998047,0.724306391984,314,400,0.02,127,-1,1,1,1
'bosch','lightgbm-na','leaves',6,3,283.236700195312,0.723226194475,344,350,0.02,255,-1,1,1,1
'bosch','lightgbm-na','leaves',7,3,305.269416992187,0.723413855764,325,325,0.02,511,-1,1,1,1
'bosch','lightgbm-na','leaves',8,3,311.026934814453,0.711940745561,235,300,0.02,1023,-1,1,1,1
'bosch','lightgbm-na','leaves',9,3,160.904372070312,0.712669454755,167,200,0.02,2047,-1,1,1,1
'bosch','lightgbm-na','leaves',10,3,163.898110839844,0.712669454755,167,200,0.02,4095,-1,1,1,1
'bosch','lightgbm-na','depth',1,3,593.238067138672,0.712781923412,1838,2000,0.02,7,3,1,1,1
'bosch','lightgbm-na','depth',2,3,499.735181884766,0.715481673747,1494,1500,0.02,15,4,1,1,1
'bosch','lightgbm-na','depth',3,3,376.037159912109,0.718217330411,826,1000,0.02,31,5,1,1,1
'bosch','lightgbm-na','depth',4,3,337.525104980469,0.720099393430,432,800,0.02,63,6,1,1,1
'bosch','lightgbm-na','depth',5,3,247.129760253906,0.720300993843,469,500,0.02,127,7,1,1,1
'bosch','lightgbm-na','depth',6,3,221.466538818359,0.722277104938,340,400,0.02,255,8,1,1,1
'bosch','lightgbm-na','depth',7,3,235.552153808594,0.725031137915,359,400,0.02,511,9,1,1,1
'bosch','lightgbm-na','depth',8,3,252.302929931641,0.723103088545,351,400,0.02,1023,10,1,1,1
'bosch','lightgbm-na','depth',9,3,269.012309082031,0.723689164537,314,400,0.02,2047,11,1,1,1
'bosch','lightgbm-na','depth',10,3,286.350802978516,0.719858918146,323,400,0.02,4095,12,1,1,1
'bosch','lightgbm-na','hessian',1,3,258.829870117188,0.723103088545,351,400,0.02,1023,10,1,1,1
'bosch','lightgbm-na','hessian',2,3,257.748260986328,0.721866243194,335,400,0.02,1023,10,5,1,1
'bosch','lightgbm-na','hessian',3,3,252.484419677734,0.716184673811,304,400,0.02,1023,10,25,1,1
'bosch','lightgbm-na','hessian',4,3,240.925112060547,0.703528855076,400,400,0.02,1023,10,125,1,1
'bosch','lightgbm-na','sampling',1,3,298.012240966797,0.718079712480,364,750,0.04,63,6,1,1,1
'bosch','lightgbm-na','sampling',2,3,306.421721191406,0.724642063702,400,750,0.04,63,6,1,0.8,1
'bosch','lightgbm-na','sampling',3,3,277.382824218750,0.721922067395,447,750,0.04,63,6,1,0.6,1
'bosch','lightgbm-na','sampling',4,3,312.007465820313,0.716014243082,436,750,0.04,63,6,1,0.4,1
'bosch','lightgbm-na','leaves',1,2,804.398554931641,0.713880859187,1965,2000,0.02,7,-1,1,1,1
'bosch','lightgbm-na','leaves',2,2,699.724077148437,0.720739660925,1138,1500,0.02,15,-1,1,1,1
'bosch','lightgbm-na','leaves',3,2,443.569388183594,0.722214385389,434,750,0.02,31,-1,1,1,1
'bosch','lightgbm-na','leaves',4,2,374.740947021484,0.724139086036,384,500,0.02,63,-1,1,1,1
'bosch','lightgbm-na','leaves',5,2,363.515941162109,0.724306391984,314,400,0.02,127,-1,1,1,1
'bosch','lightgbm-na','leaves',6,2,369.676764160156,0.723226194475,344,350,0.02,255,-1,1,1,1
'bosch','lightgbm-na','leaves',7,2,399.772411865234,0.723413855764,325,325,0.02,511,-1,1,1,1
'bosch','lightgbm-na','leaves',8,2,406.176203857422,0.711940745561,235,300,0.02,1023,-1,1,1,1
'bosch','lightgbm-na','leaves',9,2,208.114810058594,0.712669454755,167,200,0.02,2047,-1,1,1,1
'bosch','lightgbm-na','leaves',10,2,212.926166015625,0.712669454755,167,200,0.02,4095,-1,1,1,1
'bosch','lightgbm-na','depth',1,2,773.084125732422,0.712781923412,1838,2000,0.02,7,3,1,1,1
'bosch','lightgbm-na','depth',2,2,648.773162109375,0.715481673747,1494,1500,0.02,15,4,1,1,1
'bosch','lightgbm-na','depth',3,2,489.131946044922,0.718217330411,826,1000,0.02,31,5,1,1,1
'bosch','lightgbm-na','depth',4,2,439.801767089844,0.720099393430,432,800,0.02,63,6,1,1,1
'bosch','lightgbm-na','depth',5,2,325.662751953125,0.720300993843,469,500,0.02,127,7,1,1,1
'bosch','lightgbm-na','depth',6,2,288.580796875000,0.722277104938,340,400,0.02,255,8,1,1,1
'bosch','lightgbm-na','depth',7,2,307.466424804688,0.725031137915,359,400,0.02,511,9,1,1,1
'bosch','lightgbm-na','depth',8,2,329.120889404297,0.723103088545,351,400,0.02,1023,10,1,1,1
'bosch','lightgbm-na','depth',9,2,351.050276855469,0.723689164537,314,400,0.02,2047,11,1,1,1
'bosch','lightgbm-na','depth',10,2,373.377185058594,0.719858918146,323,400,0.02,4095,12,1,1,1
'bosch','lightgbm-na','hessian',1,2,329.854046142578,0.723103088545,351,400,0.02,1023,10,1,1,1
'bosch','lightgbm-na','hessian',2,2,339.145310058594,0.721866243194,335,400,0.02,1023,10,5,1,1
'bosch','lightgbm-na','hessian',3,2,324.142181152344,0.716184673811,304,400,0.02,1023,10,25,1,1
